state,district,period,enrolment_count
Andaman & Nicobar Islands,Andamans,2025-01,2
Andaman & Nicobar Islands,Andamans,2025-02,1
Andaman & Nicobar Islands,Andamans,2025-04,3
Andaman & Nicobar Islands,Andamans,2025-09,2
Andaman & Nicobar Islands,Andamans,2025-11,1
Andaman & Nicobar Islands,Andamans,2025-12,1
Andaman & Nicobar Islands,Andamans,NaT,26
Andaman & Nicobar Islands,Nicobars,2025-03,1
Andaman & Nicobar Islands,South Andaman,2025-01,3
Andaman & Nicobar Islands,South Andaman,2025-04,2
Andaman & Nicobar Islands,South Andaman,2025-05,2
Andaman & Nicobar Islands,South Andaman,2025-08,1
Andaman & Nicobar Islands,South Andaman,2025-11,2
Andaman & Nicobar Islands,South Andaman,2025-12,1
Andaman & Nicobar Islands,South Andaman,NaT,9
Andaman And Nicobar Islands,Nicobar,2025-01,12
Andaman And Nicobar Islands,Nicobar,2025-02,5
Andaman And Nicobar Islands,Nicobar,2025-03,2
Andaman And Nicobar Islands,Nicobar,2025-04,4
Andaman And Nicobar Islands,Nicobar,2025-08,2
Andaman And Nicobar Islands,Nicobar,2025-09,2
Andaman And Nicobar Islands,Nicobar,2025-10,5
Andaman And Nicobar Islands,Nicobar,2025-12,2
Andaman And Nicobar Islands,Nicobar,NaT,20
Andaman And Nicobar Islands,North And Middle Andaman,2025-01,4
Andaman And Nicobar Islands,North And Middle Andaman,2025-02,3
Andaman And Nicobar Islands,North And Middle Andaman,2025-03,5
Andaman And Nicobar Islands,North And Middle Andaman,2025-04,3
Andaman And Nicobar Islands,North And Middle Andaman,2025-05,1
Andaman And Nicobar Islands,North And Middle Andaman,2025-08,3
Andaman And Nicobar Islands,North And Middle Andaman,2025-09,8
Andaman And Nicobar Islands,North And Middle Andaman,2025-10,4
Andaman And Nicobar Islands,North And Middle Andaman,2025-11,1
Andaman And Nicobar Islands,North And Middle Andaman,NaT,23
Andaman And Nicobar Islands,South Andaman,2025-01,6
Andaman And Nicobar Islands,South Andaman,2025-02,1
Andaman And Nicobar Islands,South Andaman,2025-03,4
Andaman And Nicobar Islands,South Andaman,2025-04,5
Andaman And Nicobar Islands,South Andaman,2025-05,2
Andaman And Nicobar Islands,South Andaman,2025-08,7
Andaman And Nicobar Islands,South Andaman,2025-09,1
Andaman And Nicobar Islands,South Andaman,2025-10,3
Andaman And Nicobar Islands,South Andaman,2025-11,2
Andaman And Nicobar Islands,South Andaman,2025-12,1
Andaman And Nicobar Islands,South Andaman,NaT,50
Andhra Pradesh,Adilabad,2025-01,33
Andhra Pradesh,Adilabad,2025-02,62
Andhra Pradesh,Adilabad,2025-03,40
Andhra Pradesh,Adilabad,2025-04,33
Andhra Pradesh,Adilabad,2025-05,10
Andhra Pradesh,Adilabad,2025-06,29
Andhra Pradesh,Adilabad,2025-07,9
Andhra Pradesh,Adilabad,2025-08,48
Andhra Pradesh,Adilabad,2025-09,32
Andhra Pradesh,Adilabad,2025-10,39
Andhra Pradesh,Adilabad,2025-11,30
Andhra Pradesh,Adilabad,2025-12,34
Andhra Pradesh,Adilabad,NaT,462
Andhra Pradesh,Alluri Sitharama Raju,2025-01,13
Andhra Pradesh,Alluri Sitharama Raju,2025-02,12
Andhra Pradesh,Alluri Sitharama Raju,2025-03,17
Andhra Pradesh,Alluri Sitharama Raju,2025-04,11
Andhra Pradesh,Alluri Sitharama Raju,2025-05,22
Andhra Pradesh,Alluri Sitharama Raju,2025-06,15
Andhra Pradesh,Alluri Sitharama Raju,2025-07,1
Andhra Pradesh,Alluri Sitharama Raju,2025-08,18
Andhra Pradesh,Alluri Sitharama Raju,2025-09,20
Andhra Pradesh,Alluri Sitharama Raju,2025-10,16
Andhra Pradesh,Alluri Sitharama Raju,2025-11,19
Andhra Pradesh,Alluri Sitharama Raju,2025-12,31
Andhra Pradesh,Alluri Sitharama Raju,NaT,402
Andhra Pradesh,Anakapalli,2025-01,13
Andhra Pradesh,Anakapalli,2025-02,4
Andhra Pradesh,Anakapalli,2025-03,9
Andhra Pradesh,Anakapalli,2025-04,7
Andhra Pradesh,Anakapalli,2025-05,3
Andhra Pradesh,Anakapalli,2025-06,9
Andhra Pradesh,Anakapalli,2025-08,6
Andhra Pradesh,Anakapalli,2025-09,9
Andhra Pradesh,Anakapalli,2025-10,5
Andhra Pradesh,Anakapalli,2025-11,3
Andhra Pradesh,Anakapalli,2025-12,5
Andhra Pradesh,Anakapalli,NaT,142
Andhra Pradesh,Anantapur,2025-01,83
Andhra Pradesh,Anantapur,2025-02,75
Andhra Pradesh,Anantapur,2025-03,82
Andhra Pradesh,Anantapur,2025-04,59
Andhra Pradesh,Anantapur,2025-05,23
Andhra Pradesh,Anantapur,2025-06,71
Andhra Pradesh,Anantapur,2025-07,2
Andhra Pradesh,Anantapur,2025-08,94
Andhra Pradesh,Anantapur,2025-09,72
Andhra Pradesh,Anantapur,2025-10,40
Andhra Pradesh,Anantapur,2025-11,54
Andhra Pradesh,Anantapur,2025-12,79
Andhra Pradesh,Anantapur,NaT,1278
Andhra Pradesh,Ananthapur,2025-01,29
Andhra Pradesh,Ananthapur,2025-02,28
Andhra Pradesh,Ananthapur,2025-03,25
Andhra Pradesh,Ananthapur,2025-04,20
Andhra Pradesh,Ananthapur,2025-05,7
Andhra Pradesh,Ananthapur,2025-06,30
Andhra Pradesh,Ananthapur,2025-07,1
Andhra Pradesh,Ananthapur,2025-08,29
Andhra Pradesh,Ananthapur,2025-09,32
Andhra Pradesh,Ananthapur,2025-10,25
Andhra Pradesh,Ananthapur,2025-11,22
Andhra Pradesh,Ananthapur,2025-12,32
Andhra Pradesh,Ananthapur,NaT,598
Andhra Pradesh,Ananthapuramu,2025-01,43
Andhra Pradesh,Ananthapuramu,2025-02,41
Andhra Pradesh,Ananthapuramu,2025-03,64
Andhra Pradesh,Ananthapuramu,2025-04,47
Andhra Pradesh,Ananthapuramu,2025-05,14
Andhra Pradesh,Ananthapuramu,2025-06,43
Andhra Pradesh,Ananthapuramu,2025-07,4
Andhra Pradesh,Ananthapuramu,2025-08,58
Andhra Pradesh,Ananthapuramu,2025-09,38
Andhra Pradesh,Ananthapuramu,2025-10,31
Andhra Pradesh,Ananthapuramu,2025-11,25
Andhra Pradesh,Ananthapuramu,2025-12,58
Andhra Pradesh,Ananthapuramu,NaT,926
Andhra Pradesh,Annamayya,2025-01,11
Andhra Pradesh,Annamayya,2025-02,27
Andhra Pradesh,Annamayya,2025-03,12
Andhra Pradesh,Annamayya,2025-04,22
Andhra Pradesh,Annamayya,2025-05,3
Andhra Pradesh,Annamayya,2025-06,13
Andhra Pradesh,Annamayya,2025-08,14
Andhra Pradesh,Annamayya,2025-09,20
Andhra Pradesh,Annamayya,2025-10,18
Andhra Pradesh,Annamayya,2025-11,10
Andhra Pradesh,Annamayya,2025-12,23
Andhra Pradesh,Annamayya,NaT,241
Andhra Pradesh,Bapatla,2025-01,7
Andhra Pradesh,Bapatla,2025-02,8
Andhra Pradesh,Bapatla,2025-03,8
Andhra Pradesh,Bapatla,2025-04,4
Andhra Pradesh,Bapatla,2025-05,3
Andhra Pradesh,Bapatla,2025-06,6
Andhra Pradesh,Bapatla,2025-07,1
Andhra Pradesh,Bapatla,2025-08,9
Andhra Pradesh,Bapatla,2025-09,13
Andhra Pradesh,Bapatla,2025-10,5
Andhra Pradesh,Bapatla,2025-11,6
Andhra Pradesh,Bapatla,2025-12,5
Andhra Pradesh,Bapatla,NaT,138
Andhra Pradesh,Chittoor,2025-01,130
Andhra Pradesh,Chittoor,2025-02,130
Andhra Pradesh,Chittoor,2025-03,151
Andhra Pradesh,Chittoor,2025-04,109
Andhra Pradesh,Chittoor,2025-05,36
Andhra Pradesh,Chittoor,2025-06,138
Andhra Pradesh,Chittoor,2025-07,9
Andhra Pradesh,Chittoor,2025-08,163
Andhra Pradesh,Chittoor,2025-09,125
Andhra Pradesh,Chittoor,2025-10,133
Andhra Pradesh,Chittoor,2025-11,125
Andhra Pradesh,Chittoor,2025-12,132
Andhra Pradesh,Chittoor,NaT,2337
Andhra Pradesh,Cuddapah,2025-01,94
Andhra Pradesh,Cuddapah,2025-02,107
Andhra Pradesh,Cuddapah,2025-03,85
Andhra Pradesh,Cuddapah,2025-04,90
Andhra Pradesh,Cuddapah,2025-05,26
Andhra Pradesh,Cuddapah,2025-06,108
Andhra Pradesh,Cuddapah,2025-07,9
Andhra Pradesh,Cuddapah,2025-08,101
Andhra Pradesh,Cuddapah,2025-09,102
Andhra Pradesh,Cuddapah,2025-10,90
Andhra Pradesh,Cuddapah,2025-11,69
Andhra Pradesh,Cuddapah,2025-12,67
Andhra Pradesh,Cuddapah,NaT,1644
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-01,10
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-02,15
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-03,14
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-04,4
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-05,3
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-06,13
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-07,1
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-08,14
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-09,18
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-10,13
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-11,8
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-12,11
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,NaT,180
Andhra Pradesh,East Godavari,2025-01,136
Andhra Pradesh,East Godavari,2025-02,145
Andhra Pradesh,East Godavari,2025-03,121
Andhra Pradesh,East Godavari,2025-04,114
Andhra Pradesh,East Godavari,2025-05,69
Andhra Pradesh,East Godavari,2025-06,116
Andhra Pradesh,East Godavari,2025-07,11
Andhra Pradesh,East Godavari,2025-08,160
Andhra Pradesh,East Godavari,2025-09,164
Andhra Pradesh,East Godavari,2025-10,132
Andhra Pradesh,East Godavari,2025-11,127
Andhra Pradesh,East Godavari,2025-12,120
Andhra Pradesh,East Godavari,NaT,2197
Andhra Pradesh,Eluru,2025-01,5
Andhra Pradesh,Eluru,2025-02,9
Andhra Pradesh,Eluru,2025-03,12
Andhra Pradesh,Eluru,2025-04,9
Andhra Pradesh,Eluru,2025-05,1
Andhra Pradesh,Eluru,2025-06,11
Andhra Pradesh,Eluru,2025-08,12
Andhra Pradesh,Eluru,2025-09,13
Andhra Pradesh,Eluru,2025-10,14
Andhra Pradesh,Eluru,2025-11,11
Andhra Pradesh,Eluru,2025-12,7
Andhra Pradesh,Eluru,NaT,166
Andhra Pradesh,Guntur,2025-01,146
Andhra Pradesh,Guntur,2025-02,146
Andhra Pradesh,Guntur,2025-03,128
Andhra Pradesh,Guntur,2025-04,119
Andhra Pradesh,Guntur,2025-05,57
Andhra Pradesh,Guntur,2025-06,151
Andhra Pradesh,Guntur,2025-07,17
Andhra Pradesh,Guntur,2025-08,170
Andhra Pradesh,Guntur,2025-09,128
Andhra Pradesh,Guntur,2025-10,149
Andhra Pradesh,Guntur,2025-11,118
Andhra Pradesh,Guntur,2025-12,117
Andhra Pradesh,Guntur,NaT,2488
Andhra Pradesh,Hyderabad,2025-01,109
Andhra Pradesh,Hyderabad,2025-02,81
Andhra Pradesh,Hyderabad,2025-03,97
Andhra Pradesh,Hyderabad,2025-04,84
Andhra Pradesh,Hyderabad,2025-05,4
Andhra Pradesh,Hyderabad,2025-06,21
Andhra Pradesh,Hyderabad,2025-07,3
Andhra Pradesh,Hyderabad,2025-08,79
