state,district,period,enrolment_count,demographic_update_count,biometric_update_count,UIS,total_updates,rolling_updates,historical_avg,RIS,BSS,period_dt,TSD,TSD_raw,TSD_norm
Andaman & Nicobar Islands,Andamans,2025-01,2,13.0,993.0,0.01945916669890518,1006.0,1006.0,190.28571428571428,0.445301112507736,0.9870775347912525,2025-01-01,2.2443163653507185,2.2443163653507185,0.7616232842860892
Andaman & Nicobar Islands,Andamans,2025-02,1,8.0,24.0,0.0012379589152385006,32.0,519.0,190.28571428571428,0.22973288011084989,0.75,2025-02-01,-0.4354995679174424,-0.4354995679174424,0.17111789310675493
Andaman & Nicobar Islands,Andamans,2025-04,3,19.0,12.0,0.00039975756637909915,31.0,356.3333333333333,190.28571428571428,0.15772925423153406,0.3870967741935484,2025-04-01,-0.4382509189782926,-0.4382509189782926,0.17051162473798767
Andaman & Nicobar Islands,Andamans,2025-09,2,9.0,31.0,0.0007737243220240628,40.0,34.333333333333336,190.28571428571428,0.015197486609773629,0.775,2025-09-01,-0.41348875943064023,-0.41348875943064023,0.1759680400568932
Andaman & Nicobar Islands,Andamans,2025-11,1,1.0,17.0,0.0006963518898216566,18.0,29.666666666666668,190.28571428571428,0.013131808818153913,0.9444444444444444,2025-11-01,-0.4740184827693461,-0.4740184827693461,0.162630135944013
Andaman & Nicobar Islands,Andamans,2025-12,1,12.0,23.0,0.00135401756354211,35.0,31.0,190.28571428571428,0.013722002472902404,0.6571428571428571,2025-12-01,-0.42724551473489153,-0.42724551473489153,0.17293669821305682
Andaman & Nicobar Islands,Andamans,NaT,26,70.0,100.0,0.0002529483360463282,170.0,74.33333333333333,190.28571428571428,0.03290329625222834,0.5882352941176471,,-0.05581312152010541,-0.05581312152010541,0.2547829279966401
Andaman & Nicobar Islands,Nicobars,2025-03,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-03-01,0.0,0.0,0.26708151490591925
Andaman & Nicobar Islands,South Andaman,2025-01,3,7.0,1.0,0.00010316324293654171,8.0,8.0,18.0,0.03743514038690424,0.125,2025-01-01,-0.5748012489295106,-0.5748012489295106,0.14042235442561418
Andaman & Nicobar Islands,South Andaman,2025-04,2,0.0,8.0,0.00015474486440481257,8.0,8.0,18.0,0.03743514038690424,1.0,2025-04-01,-0.5748012489295106,-0.5748012489295106,0.14042235442561418
