state,avg_afi,max_afi,districts
Dadra And Nagar Haveli,30.763357575199077,67.96694145385224,1
Andaman And Nicobar Islands,29.770553101638107,66.58929000664654,3
Pondicherry,28.081231362518903,65.61689570874346,3
Daman And Diu,27.730908533258088,51.7175939733494,2
Puducherry,27.71685772408022,64.85847060585537,4
Lakshadweep,27.295790619426214,70.60212388907654,1
Rajasthan,26.8717762972577,68.14877623359395,38
Nagaland,26.075020963382883,73.83498480118193,17
Haryana,25.69207585712869,80.31566344701892,26
Dadra & Nagar Haveli,25.688407409937405,60.159939925832894,1
Odisha,25.56834269565072,71.59519987545816,39
Punjab,25.517622025642382,78.4575393019296,28
Gujarat,25.19938389083906,71.07051484754695,40
Madhya Pradesh,24.728820938427408,75.50513255898682,61
Delhi,24.6039742478127,75.25015250368223,14
Uttarakhand,24.511421199681465,72.65915314501763,15
Arunachal Pradesh,24.47771652823973,73.79448865809546,25
Mizoram,24.431851582269076,74.11919720602206,12
Jammu And Kashmir,24.249646475034016,72.8488944454048,24
Daman & Diu,24.099500303454022,29.128526323693,2
Andaman & Nicobar Islands,24.07076599207668,54.74457373910457,3
Maharashtra,23.89433676229715,73.08476026796447,52
Himachal Pradesh,23.83811606340028,100.0,14
Orissa,23.64368053055749,70.86976993621556,32
Chhattisgarh,23.548257072644585,72.85617457133242,40
Goa,23.408700577257466,72.38364904343763,3
Kerala,23.150662848813585,70.53126729513966,15
Karnataka,23.01399389370982,73.27693616239279,53
Chandigarh,22.972092272411533,67.09180530519308,2
Tripura,22.452284588949453,72.03176763706027,9
Jharkhand,22.292492632581144,73.39759440544816,34
Manipur,21.769191021273464,69.20360609800727,12
Tamil Nadu,21.425749449260266,74.12004723728657,46
Uttar Pradesh,20.977125881865877,68.19193231755074,88
Andhra Pradesh,20.83815944726777,74.9934216594887,47
Assam,20.511976898091117,70.11985001352751,38
Sikkim,20.41054251429918,69.1190587808248,10
Telangana,18.783907705039383,70.68233480302199,42
Bihar,18.51362180541207,69.0010190357521,47
West Bangal,18.37346155180945,34.333145534130615,2
Ladakh,18.275720627932753,62.801653534935575,2
Meghalaya,18.133264188154314,68.26842416194789,14
Dadra And Nagar Haveli And Daman And Diu,17.933964354244193,66.65341676094452,3
West Bengal,17.251266060665873,66.21767193464879,50
Jammu & Kashmir,15.651754268969338,30.28908384482458,11
West  Bengal,11.087550001408529,31.186295324661533,1
Westbengal,10.160039533910371,15.388675169590693,1
The Dadra And Nagar Haveli And Daman And Diu,5.481666160603195,5.481666160603195,1
